,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,correct
2046699.6,0,1,0,0,0,1,0,0,7,1,0,1,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1
2046799.6,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2046899.6,0,0,0,0,2,0,0,0,6,2,0,0,0,0,1,0,1,0,1,0,5,2,1,0,1,0,0,0,0,0,0,1
2046999.6,0,0,0,0,2,0,2,0,3,4,0,0,0,0,0,0,2,0,0,0,4,1,2,0,1,0,2,0,0,0,0,1
2047099.6,0,2,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,2,0,0,0,0,1
2047199.6,0,1,0,0,1,2,0,0,3,2,0,0,0,0,1,0,3,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1
2047299.6,0,0,0,0,2,1,0,0,3,3,0,0,0,0,0,0,2,0,0,0,1,6,1,0,0,0,0,0,0,0,0,1
2047399.6,0,1,0,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,1
2047499.6,1,1,0,0,1,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,2,3,2,0,1,0,0,0,0,0,0,1
2047599.6,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,1,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,1
2047699.6,0,0,0,0,2,1,0,0,4,1,0,1,0,0,2,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,1
2047799.6,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,0,1
2047899.6,0,0,0,0,1,0,0,0,3,7,0,0,0,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1
