,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
565997.3,0,0,1,0,1,0,0,0,5,1,0,2,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
566097.3,0,0,0,0,1,0,1,0,2,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
566197.3,0,0,0,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
566297.3,0,0,0,1,1,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
566397.3,1,0,1,1,0,2,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
566497.3,1,0,1,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0
566597.3,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1,0,0,0,0
566697.3,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
566797.3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0
566897.3,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,4,0,0,1,0,1,0,0,0,0
566997.3,0,1,0,0,1,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
567097.3,0,2,0,1,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,4,3,0,0,1,0,1,0,0,0,0
567197.3,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0
567297.3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567397.3,0,1,0,0,2,0,0,0,3,1,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
567497.3,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
567597.3,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
567697.3,0,0,0,0,0,0,0,2,3,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
567797.3,0,0,0,0,0,1,0,0,2,2,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
567897.3,0,0,0,0,0,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
567997.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
568097.3,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
568197.3,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0
568297.3,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0
568397.3,0,0,0,0,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
568497.3,0,0,1,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
568597.3,0,0,2,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
568697.3,1,1,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
